year_month,year,month,zabol_aod,wwte_index,toward_pixel_count,source_valid_pixel_count,source_aod_mean,source_aod_toward_mean,mean_dist_decay,mean_cosang_toward,high_toward_aod_mean,high_toward_fraction,wwte_index_norm
2000-03,2000,03,0.26328739523887634,0.009931652806699276,63702,144116,0.23997153341770172,0.24193228781223297,0.16942422929279455,0.6096569895744324,0.41644924879074097,0.2515776584722615,0.4360352662696809
2000-04,2000,04,0.17356956005096436,0.007904198952019215,80691,169737,0.257793664932251,0.284087210893631,0.14475963968957298,0.5628966689109802,0.570121169090271,0.2511060713090679,0.30944290669970065
2000-05,2000,05,0.142630934715271,0.006488780025392771,82386,172885,0.25216761231422424,0.23151111602783203,0.14495347459792432,0.5616620182991028,0.47328999638557434,0.250515864345884,0.22106544681915224
2000-06,2000,06,0.173919677734375,0.006792382802814245,82951,175458,0.29759326577186584,0.23900993168354034,0.1461365513485058,0.5617649555206299,0.5370921492576599,0.2500632903762462,0.24002212584642854
2000-07,2000,07,0.5105456113815308,0.009165145456790924,82850,171857,0.3746260404586792,0.3356310725212097,0.14524013967185648,0.5623200535774231,0.6847748756408691,0.2500422450211225,0.38817525020635946
2000-08,2000,08,0.28747186064720154,0.006933537777513266,81855,168573,0.29327207803726196,0.26663416624069214,0.14561180021440295,0.5621882677078247,0.4985842704772949,0.25062610714067557,0.24883571303162721
2000-09,2000,09,0.27738329768180847,0.005330311134457588,85052,178386,0.22766268253326416,0.19860997796058655,0.14462126738955577,0.5618155598640442,0.4070804715156555,0.2507759958613554,0.1487317115514535
2000-10,2000,10,0.13515888154506683,0.004055458586663008,83766,176067,0.1547730267047882,0.15188133716583252,0.14470485374424694,0.5603172779083252,0.30431774258613586,0.25065062197072796,0.06913108746988382
2000-11,2000,11,0.1076701357960701,0.003392663551494479,76202,166090,0.14573268592357635,0.13812901079654694,0.15511223573555077,0.5715649127960205,0.2655229866504669,0.2520012598094538,0.02774677323773941
2000-12,2000,12,0.08889905363321304,0.004977813921868801,54460,131403,0.13018886744976044,0.12509071826934814,0.18026489138759155,0.6246780753135681,0.2247103899717331,0.2506243114212266,0.12672210882710583
2001-01,2001,01,0.14176742732524872,0.005443372763693333,58125,133387,0.14782832562923431,0.13846078515052795,0.1753315954518326,0.6221888065338135,0.26344743371009827,0.2511311827956989,0.1557911760067063
2001-02,2001,02,0.19699101150035858,0.005507774651050568,62102,132959,0.193036749958992,0.170679971575737,0.16258101397728483,0.6143240332603455,0.3085504174232483,0.2525683552864642,0.15981237079863364
2001-03,2001,03,0.20595471560955048,0.004564806818962097,71455,157608,0.18676650524139404,0.15648941695690155,0.16045344621283947,0.5976155400276184,0.2944049835205078,0.25084318802043243,0.10093432403711768
2001-04,2001,04,0.26845473051071167,0.011144141666591167,66155,172090,0.2372492253780365,0.22162334620952606,0.18021900295464088,0.5747871398925781,0.39559176564216614,0.25130375632983143,0.5117419588642955
2001-05,2001,05,0.27822691202163696,0.009228670969605446,84950,173680,0.24950779974460602,0.21684056520462036,0.14489233421063222,0.6738531589508057,0.3848007619380951,0.2512536786344909,0.39214172497544975
2001-06,2001,06,0.9037864208221436,0.00929273758083582,98639,157458,0.30565813183784485,0.2643691301345825,0.1308282289884552,0.5901604294776917,0.5260307788848877,0.2503066738308377,0.3961419854334543
2001-07,2001,07,0.7842027544975281,0.010793502442538738,96315,166835,0.3407677412033081,0.30464136600494385,0.1359093365938832,0.6429312229156494,0.6257561445236206,0.25126927269895655,0.4898483672404365
2001-08,2001,08,0.2438601404428482,0.00862294901162386,93896,171628,0.31608760356903076,0.30538710951805115,0.1248638043699876,0.6434393525123596,0.5606095790863037,0.2503940529948028,0.35432100134850547
2001-09,2001,09,0.20609532296657562,0.008090022020041943,77782,178937,0.22028447687625885,0.19970227777957916,0.1467562650338072,0.6248495578765869,0.3688775599002838,0.25026355712118487,0.32104552867268865
2001-10,2001,10,0.5260475277900696,0.004120564088225365,75315,174267,0.1893875002861023,0.14649666845798492,0.1494976839479504,0.6322034001350403,0.3001643717288971,0.2500697072296355,0.0731962152875852
2001-11,2001,11,0.18792180716991425,0.00389165710657835,65973,162887,0.1534719318151474,0.15409336984157562,0.16030290029543695,0.5360119938850403,0.27610504627227783,0.2513452472981371,0.058903473254593004
2001-12,2001,12,0.13716253638267517,0.004156608134508133,57915,132752,0.14064928889274597,0.1393086165189743,0.1539841546062948,0.5298386216163635,0.2481650859117508,0.25003885003885,0.07544677248613867
2002-01,2002,01,0.15948395431041718,0.00508712325245142,56284,130053,0.15378442406654358,0.1334630399942398,0.1720775441960715,0.6702913641929626,0.24566346406936646,0.25008883519295005,0.13354728319520623
2002-02,2002,02,0.14187289774417877,0.004978626500815153,68733,140426,0.1753288358449936,0.15927323698997498,0.16401442614949188,0.6321740746498108,0.28787314891815186,0.2508256587083352,0.12677284551140477
2002-03,2002,03,0.20437288284301758,0.006407669745385647,76697,157015,0.20267970860004425,0.18339785933494568,0.14495509259932898,0.649177074432373,0.36045002937316895,0.25115715086639634,0.21600099531127617
2002-04,2002,04,0.17413386702537537,0.01265583373606205,66082,168234,0.24166622757911682,0.25255879759788513,0.17349416506776602,0.6499891877174377,0.4302062392234802,0.2514905723192397,0.6061306255043776
2002-05,2002,05,0.24420860409736633,0.006881845183670521,88992,174116,0.23075726628303528,0.19931505620479584,0.1493267427454842,0.6287363171577454,0.36778318881988525,0.251123696512046,0.24560807487269198
2002-06,2002,06,0.29260045289993286,0.0054479059763252735,109059,174529,0.27030327916145325,0.22044070065021515,0.12971523531021528,0.6174622178077698,0.44652244448661804,0.25008481647548575,0.15607422564662052
2002-07,2002,07,0.6431455612182617,0.010380934923887253,93379,175727,0.32349732518196106,0.2830333411693573,0.1368628899440511,0.6566062569618225,0.5496433973312378,0.2503132395934846,0.46408802968825824
2002-08,2002,08,0.7195935845375061,0.011688129976391792,97439,175223,0.3362083435058594,0.3102858364582062,0.1317604628779702,0.623762309551239,0.5811336040496826,0.2505670214185285,0.5457080901067812
2002-09,2002,09,0.2672068178653717,0.00782759115099907,71832,180639,0.24051916599273682,0.223416268825531,0.15155673993895152,0.6070481538772583,0.39663535356521606,0.2506682258603408,0.3046595858511292
2002-10,2002,10,0.23342588543891907,0.004138297867029905,64049,179412,0.18079668283462524,0.16427871584892273,0.14486362511378362,0.5150191783905029,0.3456764221191406,0.25063623163515436,0.0743034961747811
2002-11,2002,11,0.1545802801847458,0.0031457371078431606,71279,167690,0.14261381328105927,0.13774201273918152,0.15431598018288928,0.4545496702194214,0.2611444294452667,0.25001753672189564,0.01232891252052128
2002-12,2002,12,0.25956130027770996,0.009653475135564804,64091,129697,0.17045940458774567,0.1603824496269226,0.15301152694269715,0.6463618874549866,0.2843298316001892,0.2500195035184347,0.41866610756488176
2003-01,2003,01,0.20583173632621765,0.004770893603563309,64769,128921,0.16107071936130524,0.1543109267950058,0.17214319827585792,0.6276023983955383,0.27767711877822876,0.25047476416186754,0.11380219389202718
2003-02,2003,02,0.2363259345293045,0.010898594744503498,65998,127957,0.20708994567394257,0.21777257323265076,0.16700283432444443,0.6597568392753601,0.37912097573280334,0.2504166792933119,0.4964102342085305
2003-03,2003,03,0.26276013255119324,0.01816985197365284,67837,139400,0.2803499400615692,0.295755535364151,0.16247832656855268,0.65926194190979,0.5280486941337585,0.250025797131359,0.9504208680651257
2003-04,2003,04,0.24244235455989838,0.012968582101166248,71785,170898,0.2617913782596588,0.28310149908065796,0.16483673934702806,0.5708410143852234,0.5204576253890991,0.2506094588005851,0.625658346640325
2003-05,2003,05,0.5462598204612732,0.009153211489319801,86148,177460,0.28819358348846436,0.23307763040065765,0.152383743628245,0.6547547578811646,0.47135546803474426,0.25059200445744534,0.3874301042205638
2003-06,2003,06,0.2812878489494324,0.006016255356371403,96913,176994,0.2926080524921417,0.2420172244310379,0.13289732938126536,0.6036720871925354,0.509486198425293,0.2500799686316593,0.1915614397768423
2003-07,2003,07,0.7994703650474548,0.010245604440569878,106453,173227,0.37185773253440857,0.34208980202674866,0.13997868822116247,0.6603147387504578,0.747836709022522,0.250260678421463,0.4556381184040402
2003-08,2003,08,0.34099286794662476,0.009008518420159817,94577,174007,0.3019329011440277,0.2769102156162262,0.12936595553337377,0.6296500563621521,0.5433775782585144,0.25060004017890186,0.3783956016615523
2003-09,2003,09,0.30594420433044434,0.00785326398909092,87362,179578,0.22933140397071838,0.19312463700771332,0.1361128032064154,0.6434966921806335,0.3811025619506836,0.2506009477804995,0.30626257432033815
2003-10,2003,10,0.21954090893268585,0.004794188309460878,60841,180470,0.16508911550045013,0.1529071033000946,0.15680547842075285,0.5349878072738647,0.2929140627384186,0.2506204697490179,0.11525669396770336
2003-11,2003,11,0.15182086825370789,0.003676522057503462,73573,163731,0.14513394236564636,0.13396494090557098,0.16121759624677623,0.5645661950111389,0.274745374917984,0.2500509697851114,0.045470638062942596
2003-12,2003,12,0.27249717712402344,0.006072978023439646,61020,142514,0.17530474066734314,0.1620974987745285,0.1599026370779567,0.5584651827812195,0.3083537518978119,0.25080301540478533,0.19510315109554677
2004-01,2004,01,0.11640536785125732,0.006003356073051691,62524,132702,0.15354406833648682,0.15619884431362152,0.1618144382117543,0.6526650786399841,0.26570364832878113,0.250655748192694,0.19075602035462733
