year_month,year,month,zabol_aod,wwte_index,toward_pixel_count,source_valid_pixel_count,source_aod_mean,source_aod_toward_mean,mean_dist_decay,mean_cosang_toward,high_toward_aod_mean,high_toward_fraction,wwte_index_norm
2001-08,2001,08,0.2438601404428482,0.019908368587493896,114394,171628,0.31608760356903076,0.32582151889801025,0.13728251160751803,0.6534537672996521,0.6111505031585693,0.2510009266220256,0.5979953364517194
2001-09,2001,09,0.20609532296657562,0.014012187719345093,88728,178937,0.22028447687625885,0.2247709482908249,0.16613330503239687,0.6604496240615845,0.417595773935318,0.2515891263186367,0.404415715127504
2001-10,2001,10,0.5260475277900696,0.005643575917929411,82483,174267,0.1893875002861023,0.1803051233291626,0.16093599632544953,0.643623411655426,0.371902197599411,0.25045160821017665,0.1296628302086211
2001-11,2001,11,0.18792180716991425,0.0023701342288404703,57993,162887,0.1534719318151474,0.14961108565330505,0.18939166704551152,0.5262072086334229,0.2682804763317108,0.2527373993412998,0.0221912962155182
2001-12,2001,12,0.13716253638267517,0.0016942165093496442,39408,132752,0.14064928889274597,0.1329423487186432,0.20844220993524845,0.48875337839126587,0.2556622326374054,0.2506090133982948,0.0
2002-01,2002,01,0.15948395431041718,0.003227568231523037,44880,130053,0.15378442406654358,0.13805216550827026,0.19801534397137988,0.6426678895950317,0.26609373092651367,0.25055704099821746,0.05034201839679179
2002-02,2002,02,0.14187289774417877,0.003443158231675625,45274,140426,0.1753288358449936,0.1623188704252243,0.21056404337833787,0.5241379141807556,0.310062050819397,0.2505853249105447,0.05742013074172881
2002-03,2002,03,0.20437288284301758,0.004102960228919983,65433,157015,0.20267970860004425,0.18520161509513855,0.16305586798960273,0.6111766695976257,0.36712348461151123,0.2513716320511057,0.079082325920559
2002-04,2002,04,0.17413386702537537,0.00809809286147356,90383,168234,0.24166622757911682,0.22413893043994904,0.16955532039107837,0.5744844675064087,0.3945355713367462,0.25043426308044653,0.2102479532044029
2002-05,2002,05,0.24420860409736633,0.013539610430598259,100446,174116,0.23075726628303528,0.2089821845293045,0.16355707893980065,0.6780586838722229,0.38327860832214355,0.2512195607590148,0.3889003612657833
2002-06,2002,06,0.29260045289993286,0.015859657898545265,126394,174529,0.27030327916145325,0.24909105896949768,0.14443894293008402,0.6937680840492249,0.5174832344055176,0.25008307356361853,0.46507066885005394
2002-07,2002,07,0.6431455612182617,0.023742925375699997,114838,175727,0.32349732518196106,0.31274089217185974,0.14488769068901755,0.6851288676261902,0.6178624629974365,0.2500566014733799,0.7238890408014285
2002-08,2002,08,0.7195935845375061,0.023698117583990097,117774,175223,0.3362083435058594,0.33295968174934387,0.14446642718872782,0.6799073219299316,0.6397501230239868,0.25005519044950497,0.722417940177899
2002-09,2002,09,0.2672068178653717,0.015265041962265968,88025,180639,0.24051916599273682,0.24546466767787933,0.1655254811899249,0.6564844250679016,0.4389960467815399,0.25109911956830444,0.4455486205356797
2002-10,2002,10,0.23342588543891907,0.005873708054423332,73983,179412,0.18079668283462524,0.189057394862175,0.17682544868643693,0.5948824286460876,0.36843451857566833,0.2504088777151508,0.13721838062900918
2002-11,2002,11,0.1545802801847458,0.003121378365904093,42859,167690,0.14261381328105927,0.14113038778305054,0.23261601596851716,0.5299691557884216,0.26961275935173035,0.25086912900440983,0.046855660967353156
2002-12,2002,12,0.25956130027770996,0.004642111249268055,44115,129697,0.17045940458774567,0.15679892897605896,0.20151286826017256,0.5438082218170166,0.3077120780944824,0.2500056670066871,0.09678338575733302
2003-01,2003,01,0.20583173632621765,0.0036751101724803448,42795,128921,0.16107071936130524,0.1587384194135666,0.22436490074282572,0.5868976712226868,0.2952529788017273,0.25028624839350394,0.06503542780782642
2003-02,2003,02,0.2363259345293045,0.005826741922646761,58217,127957,0.20708994567394257,0.20781460404396057,0.20698166361601644,0.6467730402946472,0.39086222648620605,0.25033924798598345,0.1356764187713794
2003-03,2003,03,0.26276013255119324,0.006767739076167345,65758,139400,0.2803499400615692,0.2430488020181656,0.19197422958757326,0.6326684951782227,0.4270041286945343,0.25031174914078896,0.16657063262253463
2003-04,2003,04,0.24244235455989838,0.00896282959729433,75936,170898,0.2617913782596588,0.2579598128795624,0.18393574919435848,0.6368274092674255,0.4572535455226898,0.25038190054782977,0.23863843402726803
2003-05,2003,05,0.5462598204612732,0.02119705267250538,97612,177460,0.28819358348846436,0.2517993450164795,0.1572841792982965,0.6690710783004761,0.5126851797103882,0.25023562676720074,0.6403045842108351
2003-06,2003,06,0.2812878489494324,0.018999364227056503,115523,176994,0.2926080524921417,0.28118056058883667,0.14761446826988095,0.6508129239082336,0.6035242080688477,0.2500021640712239,0.568151489424215
2003-07,2003,07,0.7994703650474548,0.02260296791791916,126463,173227,0.37185773253440857,0.36373794078826904,0.1433753094701887,0.6866298317909241,0.7930980920791626,0.25006523647232787,0.6864626900944812
2003-08,2003,08,0.34099286794662476,0.02118307538330555,117746,174007,0.3019329011440277,0.3026213049888611,0.13912078177347764,0.678104043006897,0.6168853640556335,0.25005520357379446,0.6398456908337581
2003-09,2003,09,0.30594420433044434,0.01597021333873272,105762,179578,0.22933140397071838,0.2254050374031067,0.1480603051945796,0.6434272527694702,0.4573999047279358,0.25016546585730226,0.4687003540183684
2003-10,2003,10,0.21954090893268585,0.004527377430349588,75671,180470,0.16508911550045013,0.16563603281974792,0.17484758555698976,0.609749436378479,0.3063544034957886,0.25032046622880627,0.09301651874358567
2003-11,2003,11,0.15182086825370789,0.002263923641294241,51709,163731,0.14513394236564636,0.12309398502111435,0.21000061722821448,0.49458184838294983,0.24953624606132507,0.2506526910209054,0.018704258457079032
2003-12,2003,12,0.27249717712402344,0.003266307758167386,34463,142514,0.17530474066734314,0.16427645087242126,0.2054381385154354,0.4936386048793793,0.3357865512371063,0.25012332066273973,0.05161388964121088
2004-01,2004,01,0.11640536785125732,0.002497215988114476,49661,132702,0.15354406833648682,0.14183038473129272,0.1998736818696076,0.5787384510040283,0.26634103059768677,0.25057892511226115,0.02636356287212109
2004-02,2004,02,0.16642646491527557,0.004337844904512167,45697,139655,0.1882191151380539,0.18219232559204102,0.19533168526536018,0.5989891290664673,0.32802730798721313,0.25023524520209206,0.0867939086505969
2004-03,2004,03,0.4447939991950989,0.006062645930796862,64889,157342,0.18936491012573242,0.1613714098930359,0.19007079094005042,0.5866519808769226,0.2917405962944031,0.2501502565920264,0.14342146757292656
2004-04,2004,04,0.29376405477523804,0.010870467871427536,80044,174242,0.22969593107700348,0.20495280623435974,0.1697775289531589,0.6586669087409973,0.38163071870803833,0.25006246564389584,0.3012687879781004
2004-05,2004,05,0.1825963258743286,0.017747782170772552,97432,177748,0.28249263763427734,0.27125489711761475,0.16965299936643538,0.6736019849777222,0.5243174433708191,0.2502873799162493,0.5270603516301843
2004-06,2004,06,0.43755269050598145,0.019136087968945503,122681,177183,0.28031620383262634,0.2704925537109375,0.1433490581591652,0.6661956906318665,0.5646483302116394,0.250136532959464,0.5726403154580086
2004-07,2004,07,0.4027886986732483,0.0207205880433321,128875,175549,0.3013090193271637,0.28272658586502075,0.134271371924093,0.7272003889083862,0.5839179754257202,0.25005625606207565,0.6246616036862732
